,date,sum_sell,sum_buy,margin
0,08/07/2018,6230006394,2127905921,4102100473
1,07/07/2018,6247649474,5484395103,763254370.9
2,06/07/2018,2066287881,3718845783,-1652557901
3,05/07/2018,1937068072,497749852.4,1439318220
4,04/07/2018,3450789805,2417732651,1033057154
5,03/07/2018,5962423195,4658218464,1304204731
6,02/07/2018,2060076158,456118520,1603957638
7,01/07/2018,3990023007,3493978826,496044181.5
8,30/06/2018,2013262356,1648944095,364318261
9,29/06/2018,1523870290,1452744237,71126052.58
10,28/06/2018,1188244273,2934981079,-1746736806
11,27/06/2018,10305568844,1628358592,8677210252
12,26/06/2018,1213417620,1523796731,-310379111.1
13,25/06/2018,6644838181,5446388257,1198449924
14,24/06/2018,12620238184,8312558852,4307679331
15,23/06/2018,9795924538,15517431256,-5721506718
16,22/06/2018,7487136053,7928817371,-441681318.6
17,21/06/2018,7477195257,3840274182,3636921075
18,20/06/2018,14208109437,14897545067,-689435629.9
19,19/06/2018,7268661299,7334604145,-65942846.7
20,18/06/2018,4579336726,5481271996,-901935270
21,17/06/2018,13416929575,8562255441,4854674134
22,16/06/2018,12368106517,11238134627,1129971890
23,15/06/2018,7689481563,6245171027,1444310537
24,14/06/2018,2310076921,1368153278,941923643.8
25,13/06/2018,8821676943,10497233368,-1675556425
26,12/06/2018,16358471947,11863157501,4495314445
27,11/06/2018,8874151432,9428758794,-554607362
28,10/06/2018,4686307784,7701884780,-3015576996
29,08/06/2018,10313673978,11514254924,-1200580946
